passingAttempts,passingBigPlays,passingFirstDowns,passingFumbles,passingFumblesLost,passingTouchdownPct,passingTouchdowns,passingYards,passingYardsAfterCatch,passingYardsAtCatch,passingYardsPerGame,totalOffensivePlays,totalPoints,totalPointsPerGame,totalTouchdowns,totalYards,totalYardsFromScrimmage,rushingAttempts,rushingBigPlays,rushingFirstDowns,rushingFumbles,rushingFumblesLost,rushingTouchdowns,rushingYards,rushingYardsPerGame,totalTackles,totalKickingPoints,totalTwoPointConvs,totalPenalties,totalPenaltyYards,totalDrives,team_number,team,year,totalGiveaways,totalTakeaways
514.0,32.0,156.0,8.0,3.0,2.724,14.0,3166.0,0.0,3166.0,197.875,925.0,250.0,15.625,25.0,4380.0,0.0,350.0,7.0,65.0,11.0,5.0,6.0,1214.0,75.875,710.0,98.0,1.0,97.0,720.0,0.0,1,ATL,2000,,
485.0,46.0,165.0,11.0,6.0,3.918,19.0,3695.0,0.0,3695.0,230.938,988.0,291.0,18.188,29.0,5457.0,0.0,439.0,16.0,85.0,7.0,3.0,9.0,1762.0,110.125,976.0,115.0,1.0,90.0,754.0,0.0,1,ATL,2001,,
479.0,48.0,163.0,6.0,2.0,3.758,18.0,3384.0,0.0,3384.0,211.5,1038.0,402.0,25.125,44.0,5752.0,0.0,523.0,17.0,123.0,10.0,6.0,23.0,2368.0,148.0,994.0,138.0,0.0,105.0,931.0,0.0,1,ATL,2002,,
460.0,31.0,127.0,6.0,1.0,3.043,14.0,2631.0,0.0,2631.0,164.438,930.0,299.0,19.933,35.0,4580.0,0.0,435.0,14.0,99.0,5.0,2.0,17.0,1949.0,121.813,1057.0,89.0,0.0,90.0,790.0,0.0,1,ATL,2003,,
395.0,39.0,120.0,14.0,7.0,3.797,15.0,2692.0,0.0,2692.0,168.25,969.0,340.0,22.667,41.0,5364.0,0.0,524.0,22.0,133.0,8.0,4.0,20.0,2672.0,167.0,999.0,94.0,0.0,109.0,905.0,0.0,1,ATL,2004,,
451.0,33.0,149.0,7.0,4.0,4.213,19.0,2907.0,0.0,2907.0,181.688,1021.0,351.0,21.938,39.0,5453.0,0.0,531.0,19.0,139.0,8.0,4.0,17.0,2546.0,159.125,1038.0,107.0,4.0,114.0,1043.0,0.0,1,ATL,2005,,
416.0,33.0,133.0,5.0,1.0,5.048,21.0,2682.0,951.0,1731.0,167.625,1000.0,292.0,18.25,32.0,5621.0,0.0,537.0,23.0,134.0,8.0,3.0,9.0,2939.0,183.688,1051.0,100.0,0.0,96.0,877.0,0.0,1,ATL,2006,,
555.0,42.0,161.0,6.0,3.0,3.243,18.0,3573.0,1797.0,1776.0,223.313,987.0,259.0,16.188,26.0,5093.0,0.0,385.0,11.0,73.0,5.0,3.0,7.0,1520.0,95.0,1028.0,103.0,0.0,105.0,891.0,0.0,1,ATL,2007,,
434.0,45.0,157.0,2.0,1.0,3.687,16.0,3440.0,1362.0,2078.0,215.0,1011.0,389.0,24.313,43.0,5883.0,0.0,560.0,16.0,131.0,8.0,3.0,23.0,2443.0,152.688,1014.0,129.0,1.0,71.0,591.0,0.0,1,ATL,2008,,
570.0,39.0,192.0,6.0,2.0,4.561,26.0,3697.0,1177.0,2520.0,231.063,1048.0,363.0,22.688,44.0,5573.0,0.0,451.0,17.0,105.0,5.0,3.0,15.0,1876.0,117.25,1042.0,99.0,0.0,78.0,664.0,0.0,1,ATL,2009,,
577.0,32.0,200.0,3.0,2.0,4.853,28.0,3725.0,1354.0,2371.0,232.813,1097.0,414.0,25.875,47.0,5616.0,0.0,497.0,12.0,111.0,4.0,3.0,14.0,1891.0,118.188,994.0,128.0,2.0,58.0,598.0,0.0,1,ATL,2010,,
594.0,56.0,215.0,5.0,3.0,4.882,29.0,4365.0,1797.0,2568.0,272.813,1073.0,402.0,25.125,46.0,6199.0,0.0,453.0,11.0,100.0,4.0,3.0,14.0,1834.0,114.625,979.0,126.0,0.0,93.0,769.0,0.0,1,ATL,2011,,
615.0,46.0,246.0,2.0,1.0,5.203,32.0,4719.0,2106.0,2613.0,294.938,1021.0,419.0,26.188,46.0,6116.0,0.0,378.0,7.0,70.0,4.0,2.0,12.0,1397.0,87.313,950.0,143.0,0.0,55.0,415.0,0.0,1,ATL,2012,,
659.0,44.0,227.0,5.0,3.0,3.945,26.0,4541.0,2266.0,2275.0,283.813,1024.0,353.0,22.063,40.0,5788.0,0.0,321.0,6.0,64.0,1.0,1.0,11.0,1247.0,77.938,1050.0,111.0,1.0,91.0,788.0,0.0,1,ATL,2013,,
632.0,61.0,233.0,4.0,2.0,4.43,28.0,4758.0,2057.0,2701.0,297.375,1035.0,381.0,23.813,42.0,6256.0,0.0,372.0,7.0,75.0,4.0,2.0,11.0,1498.0,93.625,1060.0,127.0,1.0,97.0,840.0,0.0,1,ATL,2014,23.0,28.0
621.0,49.0,230.0,8.0,3.0,3.382,21.0,4602.0,1780.0,2822.0,287.625,1073.0,339.0,21.188,38.0,6213.0,0.0,420.0,8.0,95.0,9.0,6.0,13.0,1611.0,100.688,993.0,109.0,1.0,100.0,969.0,0.0,1,ATL,2015,30.0,23.0
537.0,69.0,239.0,3.0,2.0,7.076,38.0,4960.0,2202.0,2758.0,310.0,995.0,540.0,33.75,63.0,6888.0,0.0,421.0,15.0,108.0,3.0,1.0,20.0,1928.0,120.5,1030.0,158.0,2.0,104.0,847.0,0.0,1,ATL,2016,11.0,22.0
530.0,55.0,200.0,1.0,1.0,3.962,21.0,4146.0,1690.0,2456.0,259.125,984.0,353.0,22.063,36.0,5993.0,0.0,430.0,11.0,101.0,9.0,4.0,12.0,1847.0,115.438,1018.0,137.0,0.0,102.0,918.0,0.0,1,ATL,2017,18.0,16.0
617.0,56.0,238.0,9.0,5.0,5.835,36.0,4949.0,2044.0,2905.0,309.313,1010.0,414.0,25.875,49.0,6522.0,0.0,351.0,14.0,84.0,4.0,1.0,11.0,1573.0,98.313,1063.0,116.0,2.0,101.0,899.0,0.0,1,ATL,2018,18.0,19.0
684.0,52.0,258.0,9.0,5.0,4.24,29.0,5049.0,1939.0,3110.0,315.563,1096.0,381.0,23.813,42.0,6410.0,0.0,362.0,6.0,84.0,4.0,2.0,10.0,1361.0,85.063,1058.0,125.0,2.0,119.0,956.0,0.0,1,ATL,2019,25.0,20.0
628.0,59.0,243.0,4.0,2.0,4.299,27.0,4620.0,1768.0,2852.0,288.75,1078.0,396.0,24.75,41.0,6152.0,0.0,409.0,6.0,86.0,5.0,3.0,13.0,1532.0,95.75,1062.0,148.0,1.0,83.0,736.0,0.0,1,ATL,2020,18.0,21.0
546.0,59.0,174.0,5.0,1.0,3.663,20.0,3936.0,0.0,3936.0,246.0,1080.0,315.0,19.688,34.0,5858.0,0.0,475.0,10.0,111.0,9.0,5.0,11.0,1922.0,120.125,687.0,109.0,1.0,101.0,913.0,0.0,2,BUF,2000,,
557.0,48.0,180.0,11.0,5.0,3.232,18.0,3722.0,0.0,3722.0,232.625,1009.0,265.0,17.667,31.0,5408.0,0.0,406.0,8.0,75.0,7.0,3.0,9.0,1686.0,105.375,1090.0,77.0,1.0,123.0,954.0,0.0,2,BUF,2001,,
612.0,45.0,218.0,9.0,4.0,3.922,24.0,4364.0,0.0,4364.0,272.75,1054.0,379.0,25.267,44.0,5960.0,0.0,388.0,10.0,90.0,14.0,8.0,17.0,1596.0,99.75,1115.0,115.0,0.0,112.0,1031.0,0.0,2,BUF,2002,,
502.0,31.0,150.0,10.0,8.0,2.191,11.0,3069.0,0.0,3069.0,191.813,980.0,239.0,15.933,27.0,4733.0,0.0,427.0,6.0,96.0,14.0,5.0,13.0,1664.0,104.0,1172.0,75.0,0.0,106.0,891.0,0.0,2,BUF,2003,,
461.0,33.0,149.0,5.0,3.0,4.555,21.0,3032.0,0.0,3032.0,189.5,982.0,395.0,24.688,46.0,4906.0,0.0,483.0,16.0,102.0,10.0,5.0,15.0,1874.0,117.125,1153.0,117.0,0.0,121.0,1047.0,0.0,2,BUF,2004,,
459.0,29.0,129.0,13.0,5.0,3.922,18.0,2852.0,0.0,2852.0,178.25,930.0,271.0,16.938,26.0,4459.0,0.0,428.0,8.0,96.0,8.0,4.0,6.0,1607.0,100.438,1210.0,113.0,0.0,120.0,897.0,0.0,2,BUF,2005,,
431.0,35.0,132.0,7.0,6.0,4.408,19.0,3051.0,1295.0,1756.0,190.688,898.0,300.0,18.75,33.0,4603.0,0.0,420.0,4.0,82.0,12.0,5.0,9.0,1552.0,97.0,1250.0,102.0,0.0,87.0,629.0,0.0,2,BUF,2006,,
445.0,33.0,141.0,6.0,1.0,2.697,12.0,2842.0,1441.0,1401.0,177.625,919.0,252.0,16.8,25.0,4642.0,0.0,448.0,10.0,91.0,5.0,3.0,8.0,1800.0,112.5,1128.0,96.0,1.0,78.0,633.0,0.0,2,BUF,2007,,
479.0,38.0,167.0,13.0,7.0,2.923,14.0,3302.0,1523.0,1779.0,206.375,956.0,336.0,22.4,35.0,5144.0,0.0,439.0,9.0,107.0,7.0,4.0,16.0,1842.0,115.125,1059.0,124.0,1.0,71.0,538.0,0.0,2,BUF,2008,,
